metric,intervention_mean,original,delta
O.f1,0.04460333872476562,0.449,-0.4043966612752344
F_m.f1,0.0368454727026176,,
OF_m.f1,0.030263254265477477,0.4547,-0.4244367457345225
F_mw.f1,0.0368454727026176,,
OF_mw.f1,0.02961136805832489,0.4526,-0.42298863194167513
O.AUPRC,0.05802027725300256,0.45,-0.39197972274699744
F_m.AUPRC,0.05742538152481952,,
OF_m.AUPRC,0.05772284604083283,0.4618,-0.40407715395916716
F_mw.AUPRC,0.05742538152481952,,
OF_mw.AUPRC,0.05740543788675903,0.4627,-0.405294562113241
O.AUROC,0.6826847300986185,0.9069,-0.22421526990138152
F_m.AUROC,0.6767423344081045,,
OF_m.AUROC,0.6799342454810351,0.9082,-0.22826575451896491
F_mw.AUROC,0.6767423344081045,,
OF_mw.AUROC,0.6781836896366326,0.9065,-0.22831631036336741
O.Brier,0.021953557610778315,0.0164,0.005553557610778314
F_m.Brier,0.021996497128905158,,
OF_m.Brier,0.022009773316523765,0.0164,0.005609773316523764
F_mw.Brier,0.021996497128905158,,
OF_mw.Brier,0.022006832665582746,0.0164,0.005606832665582744
O.ECE,0.01985073150696975,0.0154,0.00445073150696975
F_m.ECE,0.020336500669938376,,
OF_m.ECE,0.020670834940184547,0.0158,0.004870834940184546
F_mw.ECE,0.020336500669938376,,
OF_mw.ECE,0.0206429492718025,0.0156,0.005042949271802502
