,,row,set,TN,FP,FN,TP
GES,FFMLP,original,O,17422,63,258,138
GES,FFMLP,m,F,17431,54,286,110
GES,FFMLP,m,OF,17413,72,239,157
GES,FFMLP,mw,F,17422,63,261,135
GES,FFMLP,mw,OF,17405,80,241,155
GES,LightGBM,original,O,16891,594,159,237
GES,LightGBM,m,F,16954,531,171,225
GES,LightGBM,m,OF,16963,522,166,230
GES,LightGBM,mw,F,16961,524,167,229
GES,LightGBM,mw,OF,16978,507,164,232
GES,Logit,original,O,12549,4936,67,329
GES,Logit,m,F,11308,6177,80,316
GES,Logit,m,OF,12719,4766,73,323
GES,Logit,mw,F,10466,7019,73,323
GES,Logit,mw,OF,12664,4821,71,325
GES,RF,original,O,17468,17,318,78
GES,RF,m,F,17466,19,328,68
GES,RF,m,OF,17466,19,309,87
GES,RF,mw,F,17470,15,331,65
GES,RF,mw,OF,17465,20,307,89
GES,XGBoost,original,O,16637,848,134,262
GES,XGBoost,m,F,16800,685,148,248
GES,XGBoost,m,OF,16753,732,139,257
GES,XGBoost,mw,F,16813,672,150,246
GES,XGBoost,mw,OF,16845,640,144,252
GOLEM,FFMLP,original,O,15155,2330,68,328
GOLEM,FFMLP,m,F,15118,2367,82,314
GOLEM,FFMLP,m,OF,15034,2451,70,326
GOLEM,FFMLP,mw,F,15310,2175,85,311
GOLEM,FFMLP,mw,OF,15191,2294,71,325
GOLEM,LightGBM,original,O,16891,594,159,237
GOLEM,LightGBM,m,F,16775,710,164,232
GOLEM,LightGBM,m,OF,17022,463,177,219
GOLEM,LightGBM,mw,F,16873,612,173,223
GOLEM,LightGBM,mw,OF,16929,556,167,229
GOLEM,Logit,original,O,16891,594,159,237
GOLEM,Logit,m,F,16775,710,164,232
GOLEM,Logit,m,OF,17022,463,177,219
GOLEM,Logit,mw,F,16873,612,173,223
GOLEM,Logit,mw,OF,16929,556,167,229
GOLEM,RF,original,O,17468,17,318,78
GOLEM,RF,m,F,17462,23,344,52
GOLEM,RF,m,OF,17462,23,321,75
GOLEM,RF,mw,F,17462,23,341,55
GOLEM,RF,mw,OF,17463,22,321,75
GOLEM,XGBoost,original,O,16637,848,134,262
GOLEM,XGBoost,m,F,16590,895,143,253
GOLEM,XGBoost,m,OF,16722,763,154,242
GOLEM,XGBoost,mw,F,16546,939,137,259
GOLEM,XGBoost,mw,OF,16723,762,146,250
NOTEARS,FFMLP,original,O,17352,133,232,164
NOTEARS,FFMLP,m,F,17280,205,227,169
NOTEARS,FFMLP,m,OF,17320,165,228,168
NOTEARS,FFMLP,mw,F,17220,265,221,175
NOTEARS,FFMLP,mw,OF,17306,179,221,175
NOTEARS,LightGBM,original,O,17346,139,241,155
NOTEARS,LightGBM,m,F,17313,172,245,151
NOTEARS,LightGBM,m,OF,17347,138,223,173
NOTEARS,LightGBM,mw,F,17292,193,244,152
NOTEARS,LightGBM,mw,OF,17344,141,229,167
NOTEARS,Logit,original,O,17132,353,206,190
NOTEARS,Logit,m,F,15747,1738,216,180
NOTEARS,Logit,m,OF,17137,348,207,189
NOTEARS,Logit,mw,F,15747,1738,216,180
NOTEARS,Logit,mw,OF,17137,348,207,189
NOTEARS,RF,original,O,17316,169,231,165
NOTEARS,RF,m,F,17215,270,237,159
NOTEARS,RF,m,OF,17302,183,224,172
NOTEARS,RF,mw,F,17186,299,229,167
NOTEARS,RF,mw,OF,17324,161,237,159
NOTEARS,XGBoost,original,O,17428,57,275,121
NOTEARS,XGBoost,m,F,17432,53,306,90
NOTEARS,XGBoost,m,OF,17434,51,271,125
NOTEARS,XGBoost,mw,F,17428,57,305,91
NOTEARS,XGBoost,mw,OF,17436,49,266,130
PC,FFMLP,original,O,17287,198,199,197
PC,FFMLP,m,F,7594,9891,91,305
PC,FFMLP,m,OF,17295,190,198,198
PC,LightGBM,original,O,16912,573,208,188
PC,LightGBM,m,F,16552,933,175,221
PC,LightGBM,m,OF,16870,615,186,210
PC,Logit,original,O,16773,712,187,209
PC,Logit,m,F,16401,1084,225,171
PC,Logit,m,OF,17055,430,214,182
PC,RF,original,O,17351,134,252,144
PC,RF,m,F,17246,239,238,158
PC,RF,m,OF,17301,184,228,168
PC,XGBoost,original,O,17366,119,243,153
PC,XGBoost,m,F,17268,217,230,166
PC,XGBoost,m,OF,17345,140,223,173
