,,,O,O,O,O,O,F,F,F,F,F,OF,OF,OF,OF,OF,F-O,F-O,F-O,F-O,F-O,OF-O,OF-O,OF-O,OF-O,OF-O,O,O,O,O,F,F,F,F,OF,OF,OF,OF,F-O,F-O,F-O,F-O,OF-O,OF-O,OF-O,OF-O
,,,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,f1,AUPRC,AUROC,Brier,ECE,TN,FP,FN,TP,TN,FP,FN,TP,TN,FP,FN,TP,TN,FP,FN,TP,TN,FP,FN,TP
NOTEARS,1,original,0.449,0.45,0.9069,0.0164,0.0154,,,,,,,,,,,,,,,,,,,,,17346,139,241,155,,,,,,,,,,,,,,,,
NOTEARS,1,m,,,,,,0.0556,0.035,0.5924,0.0219,0.0013,0.4932,0.4893,0.9136,0.016,0.0151,-0.3934,-0.415,-0.3145,0.0055,-0.0141,0.0442,0.0393,0.0067,-0.0004,-0.0003,,,,,15521,1964,328,68,17362,123,226,170,-1825,1825,87,-87,16,-16,-15,15
NOTEARS,1,mw,,,,,,0.0618,0.0382,0.6064,0.0218,0.0013,0.488,0.4829,0.9174,0.0161,0.0153,-0.3872,-0.4118,-0.3005,0.0054,-0.0141,0.039,0.0329,0.0105,-0.0003,-0.0001,,,,,15378,2107,315,81,17342,143,221,175,-1968,1968,74,-74,-4,4,-20,20
NOTEARS,2,original,0.449,0.45,0.9069,0.0164,0.0154,,,,,,,,,,,,,,,,,,,,,17346,139,241,155,,,,,,,,,,,,,,,,
NOTEARS,2,m,,,,,,0.0682,0.0502,0.6375,0.0241,0.0191,0.4863,0.4824,0.9137,0.0161,0.0154,-0.3808,-0.3998,-0.2694,0.0077,0.0037,0.0373,0.0324,0.0068,-0.0003,0,,,,,16592,893,343,53,17344,141,223,173,-754,754,102,-102,-2,2,-18,18
NOTEARS,2,mw,,,,,,0.0592,0.0497,0.6566,0.0243,0.0191,0.4775,0.4842,0.9163,0.016,0.0155,-0.3898,-0.4003,-0.2503,0.0079,0.0037,0.0285,0.0342,0.0094,-0.0004,1E-04,,,,,16699,786,351,45,17338,147,224,172,-647,647,110,-110,-8,8,-17,17
NOTEARS,3,original,0.449,0.45,0.9069,0.0164,0.0154,,,,,,,,,,,,,,,,,,,,,17346,139,241,155,,,,,,,,,,,,,,,,
NOTEARS,3,m,,,,,,0.1242,0.0807,0.7578,0.0232,0.0181,0.4922,0.4833,0.9143,0.0161,0.0154,-0.3248,-0.3693,-0.1491,0.0068,0.0027,0.0432,0.0333,0.0074,-0.0003,0,,,,,16568,917,308,88,17370,115,228,168,-778,778,67,-67,24,-24,-13,13
NOTEARS,3,mw,,,,,,0.109,0.0828,0.7591,0.0232,0.0183,0.4663,0.4837,0.9147,0.0161,0.0159,-0.34,-0.3672,-0.1478,0.0068,0.0029,0.0173,0.0337,0.0078,-0.0003,0.0005,,,,,16701,784,324,72,17370,115,240,156,-645,645,83,-83,24,-24,-1,1
NOTEARS,4,original,0.449,0.45,0.9069,0.0164,0.0154,,,,,,,,,,,,,,,,,,,,,17346,139,241,155,,,,,,,,,,,,,,,,
NOTEARS,4,m,,,,,,0.1184,0.0949,0.7641,0.0226,0.0182,0.4875,0.4745,0.9132,0.0162,0.0157,-0.3306,-0.3551,-0.1428,0.0062,0.0028,0.0385,0.0245,0.0063,-0.0002,0.0003,,,,,16968,517,334,62,17355,130,226,170,-378,378,93,-93,9,-9,-15,15
NOTEARS,4,mw,,,,,,0.1481,0.0974,0.773,0.0223,0.0173,0.4714,0.4776,0.9166,0.0161,0.0153,-0.3009,-0.3526,-0.1339,0.0059,0.0019,0.0224,0.0276,0.0097,-0.0003,-0.0001,,,,,16781,704,304,92,17366,119,236,160,-565,565,63,-63,20,-20,-5,5
NOTEARS,5,original,0.449,0.45,0.9069,0.0164,0.0154,,,,,,,,,,,,,,,,,,,,,17346,139,241,155,,,,,,,,,,,,,,,,
NOTEARS,5,m,,,,,,0.14,0.1002,0.7732,0.0222,0.0178,0.492,0.4807,0.9155,0.0161,0.0152,-0.309,-0.3498,-0.1337,0.0058,0.0024,0.043,0.0307,0.0086,-0.0003,-0.0002,,,,,16920,565,319,77,17346,139,220,176,-426,426,78,-78,0,0,-21,21
NOTEARS,5,mw,,,,,,0.1367,0.1048,0.7819,0.0222,0.017,0.4898,0.4833,0.9158,0.016,0.0154,-0.3123,-0.3452,-0.125,0.0058,0.0016,0.0408,0.0333,0.0089,-0.0004,0,,,,,16953,532,322,74,17351,134,224,172,-393,393,81,-81,5,-5,-17,17
NOTEARS,6,original,0.449,0.45,0.9069,0.0164,0.0154,,,,,,,,,,,,,,,,,,,,,17346,139,241,155,,,,,,,,,,,,,,,,
NOTEARS,6,m,,,,,,0.1475,0.1006,0.7692,0.0221,0.0178,0.4886,0.4815,0.9144,0.0163,0.0154,-0.3015,-0.3494,-0.1377,0.0057,0.0024,0.0396,0.0315,0.0075,-0.0001,0,,,,,16980,505,323,73,17343,142,222,174,-366,366,82,-82,-3,3,-19,19
NOTEARS,6,mw,,,,,,0.1381,0.1063,0.7811,0.022,0.018,0.4806,0.4825,0.9158,0.0162,0.0155,-0.3109,-0.3437,-0.1258,0.0056,0.0026,0.0316,0.0325,0.0089,-0.0002,1E-04,,,,,17074,411,337,59,17357,128,229,167,-272,272,96,-96,11,-11,-12,12
NOTEARS,7,original,0.449,0.45,0.9069,0.0164,0.0154,,,,,,,,,,,,,,,,,,,,,17346,139,241,155,,,,,,,,,,,,,,,,
NOTEARS,7,m,,,,,,0.1424,0.0987,0.7682,0.0222,0.0179,0.4907,0.4846,0.9159,0.0162,0.0155,-0.3066,-0.3513,-0.1387,0.0058,0.0025,0.0417,0.0346,0.009,-0.0002,1E-04,,,,,17123,362,338,58,17359,126,226,170,-223,223,97,-97,13,-13,-15,15
NOTEARS,7,mw,,,,,,0.1375,0.1079,0.7782,0.022,0.0176,0.4762,0.4868,0.915,0.0162,0.0155,-0.3115,-0.3421,-0.1287,0.0056,0.0022,0.0272,0.0368,0.0081,-0.0002,1E-04,,,,,17007,478,329,67,17335,150,226,170,-339,339,88,-88,-11,11,-15,15
NOTEARS,8,original,0.449,0.45,0.9069,0.0164,0.0154,,,,,,,,,,,,,,,,,,,,,17346,139,241,155,,,,,,,,,,,,,,,,
NOTEARS,8,m,,,,,,0.1747,0.1331,0.772,0.0214,0.0178,0.4941,0.4824,0.91,0.0163,0.0155,-0.2743,-0.3169,-0.1349,0.005,0.0024,0.0451,0.0324,0.0031,-0.0001,1E-04,,,,,17071,414,313,83,17348,137,221,175,-275,275,72,-72,2,-2,-20,20
NOTEARS,8,mw,,,,,,0.1631,0.1304,0.776,0.0214,0.0177,0.4949,0.4854,0.9088,0.0161,0.0155,-0.2859,-0.3196,-0.1309,0.005,0.0023,0.0459,0.0354,0.0019,-0.0003,1E-04,,,,,17024,461,315,81,17375,110,229,167,-322,322,74,-74,29,-29,-12,12
NOTEARS,9,original,0.449,0.45,0.9069,0.0164,0.0154,,,,,,,,,,,,,,,,,,,,,17346,139,241,155,,,,,,,,,,,,,,,,
NOTEARS,9,m,,,,,,0.4145,0.3804,0.9024,0.018,0.017,0.4897,0.4781,0.9127,0.0163,0.0159,-0.0345,-0.0696,-0.0045,0.0016,0.0016,0.0407,0.0281,0.0058,-0.0001,0.0005,,,,,17313,172,245,151,17347,138,223,173,-33,33,4,-4,1,-1,-18,18
NOTEARS,9,mw,,,,,,0.4085,0.3794,0.9001,0.0181,0.0169,0.4747,0.4818,0.9129,0.0162,0.0157,-0.0405,-0.0706,-0.0068,0.0017,0.0015,0.0257,0.0318,0.006,-0.0002,0.0003,,,,,17292,193,244,152,17344,141,229,167,-54,54,3,-3,-2,2,-12,12
